"id","V1_lifestyle","V2_country","V3_plants","V4_myself","V5_people","V6_animals","V7_health","V8_children","V9_marine","V10_myfuture","V11_generation","V12_birds","B1_condition","B2_worry","B3_proof","B4_impact","B5_future","B6_diference","B7_humanaction","B8_negative","B9_mypart","T1_public","T1covid_public","E1_lights","E1covid_lights","W1_shower","W1covid_shower","F1_meat","F1covid_meat","G1_waste","G1covid_waste","P1_test","P1covid_test","T2_foot","T2covid_foot","E2_heat","E2covid_heat","W2_machine","W2covid_machine","F2_eggs","F2covid_eggs","G2_sort","G2covid_sort","P2_local","P2covid_local","T3_flight","T3covid_flight","E3_tv","E3covid_tv","W3_tap","W3covid_tap","F3_fish","F3covid_fish","G3_disposable","G3covid_disposable","T4_noplain","T4covid_noplain","E4_household","E4covid_household","F4_vegetable","F4covid_vegetable","G4_leftover","G4covid_leftover","CU1_techno","CG1_objectives","IR1_critic","LK1_confusion","T1_unnecessary","CU2_impotent","CG2_time","IR2_disappointment","LK2_understand","T2_sacrifice","CU3_distant","CG3_like","IR3_friends","LK3_begin","T3_effort","CU4_area","CG4_habit","IR4_shame","LK4_government","T4_difference","CU5_trivial","CG5_work","T5_industry","T6_government","behavior","Difficulty","age","sex","language","nationality","local","edu","parentI","parentII","activism"
"20523",4,4,4,3,7,7,4,7,7,5,7,5,5,5,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,5,5,4,4,3,3,4,4,5,5,2,2,5,5,4,4,5,5,5,5,5,5,4,4,4,4,3,3,5,5,5,5,5,5,1,6,1,1,1,2,6,1,2,1,1,3,1,2,1,1,5,1,3,1,1,2,1,3,"taking public transport, cycling, or walking rather than driving","High",52,"female","ptpt","pt","Aveiro","PhD","7° Grade","7° Grade","no"
"20582",7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,4,5,5,5,5,3,4,4,3,3,3,3,5,5,4,4,2,2,4,4,5,5,3,3,4,4,3,3,5,5,4,4,5,5,3,3,4,4,4,4,3,3,3,3,4,4,2,2,1,2,3,2,3,2,3,3,2,4,2,3,2,3,2,2,5,5,2,3,2,4,"making more eco-friendly purchases","High",19,"male","ptpt","pt","Porto","High School","High School","9° Grade","no"
"20610",7,7,7,5,7,6,5,7,7,4,7,7,5,5,5,5,5,2,5,5,4,2,4,5,5,3,3,4,4,4,4,2,2,3,3,5,5,5,5,3,3,3,3,5,5,5,5,5,5,5,5,2,2,4,4,3,3,3,3,3,3,5,5,3,2,1,3,1,1,6,3,2,1,1,3,1,5,1,1,6,2,6,1,1,1,5,5,"taking public transport, cycling, or walking rather than driving","High",24,"male","ptpt","pt","Porto","Master","4° Grade","4° Grade","yes"
"20636",5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,4,5,4,5,5,4,1,3,4,4,5,5,3,3,4,4,4,4,1,1,3,4,4,4,3,3,3,4,3,3,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,2,2,2,1,2,1,1,1,1,1,1,1,1,1,5,1,5,1,1,3,1,5,"recycling all items permitted by local programs","Low",58,"male","ptpt","pt","Porto","PhD","High School","High School","no"
"20639",2,5,7,2,4,7,4,6,7,5,7,7,5,5,4,5,5,5,5,5,5,4,4,3,2,4,4,4,3,5,4,3,3,5,5,4,4,5,5,1,1,4,3,4,3,2,2,2,2,5,5,1,3,5,4,4,4,4,3,5,3,4,4,2,2,4,1,1,1,1,1,6,1,1,1,1,6,1,1,1,1,5,4,1,1,1,7,"reducing water use (e.g., taking shorter showers, repairing leaks)","Low",29,"male","ptpt","pt","Porto","Master","Bachelor","Bachelor","no"
"20653",4,6,5,7,7,6,7,7,6,7,7,6,5,5,5,5,5,4,5,5,5,4,4,4,4,4,4,1,1,4,4,3,3,4,4,1,1,4,4,1,1,4,4,4,4,1,1,4,4,5,5,1,1,3,3,1,1,3,3,1,1,4,4,2,1,4,1,1,1,4,2,1,1,1,5,1,1,1,1,4,1,2,2,1,5,1,1,"eating less meat","High",22,"female","ptpt","pt","Porto","Bachelor","High School","7° Grade","no"
"20656",5,7,7,7,7,7,7,7,7,7,7,7,4,5,5,4,5,5,5,5,5,4,5,5,5,3,3,2,2,4,4,4,4,3,4,5,5,5,5,3,3,2,2,4,4,4,4,5,5,5,5,3,3,3,4,5,3,5,5,4,4,5,5,2,4,2,4,2,1,6,2,5,3,2,2,1,5,1,2,5,2,5,2,2,2,2,5,"recycling all items permitted by local programs","Low",23,"female","ptpt","pt","Porto","Bachelor","High School","High School","no"
"20665",6,6,6,6,6,6,6,7,6,6,7,6,5,5,5,5,5,4,5,5,4,2,4,5,5,5,5,3,3,3,3,3,3,3,2,3,3,5,5,1,1,5,5,4,3,4,4,4,4,5,5,1,1,2,2,3,3,5,5,3,4,4,4,1,5,7,4,1,1,6,6,3,1,1,6,1,3,1,1,5,1,4,2,1,4,3,2,"eating less meat","High",39,"female","ptpt","pt","Porto","Master","4° Grade","7° Grade","no"
"20682",5,5,7,5,6,7,6,5,7,7,7,7,5,4,5,5,5,4,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,2,2,5,5,5,5,2,2,5,5,4,4,5,5,5,5,5,5,4,4,5,5,4,4,3,3,4,4,3,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,1,7,5,1,1,3,7,"reducing water use (e.g., taking shorter showers, repairing leaks)","Low",20,"male","ptpt","pt","Aveiro","High School","9° Grade","4° Grade","yes"
"20684",3,6,7,3,7,7,7,7,7,6,7,7,5,5,5,5,5,5,5,5,5,2,2,5,5,4,4,4,3,4,4,4,4,1,1,4,4,5,5,4,4,5,5,4,4,1,1,5,5,5,5,2,2,4,4,4,4,5,5,4,4,5,5,5,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,7,2,1,1,2,6,"taking public transport, cycling, or walking rather than driving","High",62,"female","ptpt","pt","Porto","PhD","Bachelor","Bachelor","no"
"20699",2,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,4,4,5,5,3,3,3,3,2,2,2,2,2,2,4,4,5,5,1,1,4,4,2,2,5,5,5,5,5,5,1,1,3,3,4,4,5,5,4,4,5,5,1,2,3,1,1,1,4,1,1,1,1,1,1,1,1,1,2,1,6,4,1,1,2,7,"taking public transport, cycling, or walking rather than driving","High",20,"female","ptpt","pt","Braga","High School","7° Grade","7° Grade","no"
"20709",5,5,6,6,4,7,6,4,7,7,6,7,5,5,5,4,5,5,5,5,5,4,4,5,5,4,4,2,2,4,4,3,3,4,4,3,3,5,5,2,2,5,5,4,4,4,4,5,5,5,5,2,2,5,5,3,3,3,3,4,4,5,5,3,5,2,2,2,2,5,2,2,1,1,3,1,5,1,1,4,1,1,1,1,4,4,4,"eating less meat","High",23,"male","ptpt","pt","Porto","Bachelor","Bachelor","9° Grade","no"
"20724",5,5,4,5,5,6,7,7,4,6,6,4,4,4,5,5,5,4,4,5,4,5,3,5,5,3,4,1,1,4,1,2,3,1,1,2,1,5,4,4,4,4,2,3,2,4,4,5,5,5,5,2,2,4,3,2,2,3,2,2,2,4,4,3,3,1,2,1,1,2,1,2,1,1,5,1,6,1,1,6,1,4,3,1,2,1,4,"reducing water use (e.g., taking shorter showers, repairing leaks)","Low",19,"female","ptpt","pt","Porto","High School","9° Grade","High School","no"
"20727",3,5,6,5,7,7,7,7,7,7,7,7,5,5,5,5,5,3,4,5,3,4,4,4,4,3,3,4,3,3,3,2,2,3,3,4,4,5,5,4,4,4,4,3,3,2,2,4,4,4,4,3,3,3,4,5,5,2,2,3,3,5,5,2,3,1,1,4,5,2,1,3,3,1,2,1,2,3,2,5,1,7,2,1,3,6,7,"making more eco-friendly purchases","High",22,"male","ptpt","pt","Aveiro","Bachelor","Bachelor","Bachelor","no"
"20732",4,5,5,5,5,5,6,6,7,7,7,5,4,4,4,4,5,2,4,4,3,2,4,4,4,2,2,1,1,3,3,1,1,2,2,3,3,3,3,2,2,4,4,3,3,2,1,4,4,5,5,1,1,1,1,2,2,5,5,4,4,3,3,4,7,3,3,3,2,7,2,2,2,1,5,1,2,2,2,4,2,6,4,2,5,6,4,"taking public transport, cycling, or walking rather than driving","High",18,"male","ptpt","pt","Porto","High School","Bachelor","Bachelor","no"
"20753",3,4,7,5,6,7,6,6,7,6,7,7,5,5,5,5,5,3,5,5,4,4,2,4,4,3,3,1,1,3,3,4,4,3,3,3,3,4,4,1,1,4,4,3,3,1,1,4,4,5,5,1,1,4,4,2,2,3,3,3,3,4,4,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,3,1,5,2,2,1,5,5,"reducing water use (e.g., taking shorter showers, repairing leaks)","Low",19,"male","ptpt","pt","Porto","High School","Master","High School","no"
"20766",7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,3,5,5,5,5,5,5,5,2,3,5,5,2,2,2,2,3,4,5,5,5,5,1,1,5,5,3,3,1,1,5,4,5,5,5,5,3,3,1,1,1,1,3,3,1,1,1,6,1,1,1,1,1,1,1,1,1,7,1,1,1,1,7,5,5,3,1,7,5,3,"reducing water use (e.g., taking shorter showers, repairing leaks)","Low",35,"female","ptbr","other","Porto","Master","Bachelor","High School","no"
"20770",7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,4,1,5,5,5,5,4,4,5,5,5,4,2,2,3,3,5,5,4,4,5,5,3,3,4,4,5,4,5,5,4,4,4,4,3,3,5,5,5,5,5,5,2,5,1,1,1,1,7,1,2,1,1,6,1,3,1,1,7,1,7,4,1,2,1,4,"taking public transport, cycling, or walking rather than driving","High",18,"female","ptpt","pt","Aveiro","High School","9° Grade","High School","no"
"20773",6,6,6,6,6,6,7,7,6,6,7,6,5,5,5,5,5,4,4,5,5,2,2,5,5,3,3,2,2,4,4,4,4,3,3,5,5,5,5,1,1,5,5,3,3,5,4,5,5,5,5,2,2,4,4,4,4,5,4,4,4,4,4,2,5,2,1,2,2,6,2,1,2,2,4,2,3,2,2,5,2,6,4,2,2,2,5,"taking public transport, cycling, or walking rather than driving","High",57,"male","ptpt","pt","Porto","PhD","4° Grade","4° Grade","no"
"20784",5,7,7,7,5,7,7,7,7,7,7,7,5,5,5,5,5,4,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,5,5,3,3,5,5,4,4,5,5,3,3,5,5,4,4,5,5,3,3,3,3,5,5,5,5,1,1,1,1,1,1,1,1,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,"eating less meat","High",19,"male","ptpt","pt","Braga","High School","High School","9° Grade","no"
"20793",5,6,6,4,7,7,4,5,7,4,5,6,4,4,5,5,5,4,5,5,3,5,3,5,5,5,5,3,3,4,4,3,3,4,4,5,5,5,5,3,3,5,5,4,4,1,1,5,5,5,5,3,3,3,3,3,3,4,4,3,3,5,5,4,6,1,2,4,2,2,2,2,5,4,5,1,1,5,2,4,2,4,6,4,6,6,2,"eating less meat","High",18,"male","ptpt","pt","Porto","High School","Bachelor","Bachelor","no"
"20797",5,5,4,5,5,4,6,6,5,6,6,4,5,4,5,5,5,5,5,4,5,5,4,5,5,3,3,1,1,3,3,3,3,3,3,5,5,5,5,1,1,4,4,3,3,4,4,5,5,5,5,2,2,3,3,4,4,3,3,3,3,4,4,2,2,1,2,2,2,3,2,3,3,3,3,2,2,3,3,5,3,6,4,2,2,2,3,"taking public transport, cycling, or walking rather than driving","High",18,"male","ptpt","pt","Porto","High School","4° Grade","4° Grade","no"
"20808",5,6,6,4,5,6,4,7,6,4,7,6,5,5,5,5,5,4,5,5,4,2,2,5,5,3,3,4,2,3,3,3,3,5,5,4,3,5,5,2,2,4,4,2,2,2,2,3,3,4,4,2,2,3,2,1,1,3,3,5,2,5,5,2,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1,7,1,1,1,1,1,6,1,"reducing water use (e.g., taking shorter showers, repairing leaks)","Low",23,"male","ptpt","pt","Porto","Bachelor","Bachelor","PhD","no"
"20812",4,7,7,6,7,7,4,5,7,5,7,7,5,5,5,4,5,5,5,5,5,3,1,5,5,2,2,2,2,4,4,3,2,1,1,1,1,5,5,4,4,4,4,3,3,4,3,5,5,5,5,2,2,2,2,4,2,2,2,4,4,4,4,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,6,1,1,1,5,5,"reducing water use (e.g., taking shorter showers, repairing leaks)","Low",18,"female","ptpt","pt","Porto","High School","PhD","PhD","no"
"20813",4,4,7,3,7,7,6,6,7,5,7,7,5,5,5,3,5,5,5,5,5,4,4,5,5,4,4,2,2,3,3,4,4,4,4,5,5,5,5,1,1,5,5,3,3,2,2,5,5,5,5,2,2,3,4,3,3,1,1,3,3,4,4,1,1,4,1,1,1,5,3,3,1,1,5,1,5,1,1,7,2,6,4,1,4,2,6,"eating less meat","High",22,"female","ptpt","pt","Aveiro","Bachelor","Bachelor","PhD","no"
"20818",6,6,6,6,6,6,5,6,6,6,6,6,5,5,5,5,5,2,5,5,3,1,1,5,5,5,5,3,3,5,5,4,4,4,2,4,4,5,5,2,2,5,5,4,4,5,5,5,5,5,5,3,3,4,4,4,4,2,2,4,4,5,5,1,5,1,1,1,1,6,1,5,1,1,4,1,1,1,1,5,1,4,1,1,1,4,3,"taking public transport, cycling, or walking rather than driving","High",56,"female","ptpt","pt","Porto","PhD","PhD","PhD","no"
"20825",7,6,6,7,7,7,7,7,7,7,7,7,5,5,5,5,5,4,5,5,5,4,4,5,5,5,5,4,4,5,5,2,2,3,3,3,3,5,5,4,4,5,5,4,4,3,3,5,5,5,5,2,2,5,5,3,3,4,4,5,5,5,5,1,2,6,1,1,1,2,4,3,1,1,4,1,4,1,1,2,1,5,5,1,1,1,6,"eating less meat","High",22,"female","ptpt","pt","Santarém","Bachelor","High School","High School","no"
"20833",4,5,7,4,5,7,4,5,7,4,5,7,4,4,5,5,5,5,5,5,5,2,2,5,5,5,5,5,5,4,4,4,4,1,1,3,3,5,5,5,4,5,5,3,3,5,5,5,5,5,5,5,5,4,4,3,3,2,2,5,5,5,5,1,3,1,1,1,1,4,1,1,1,1,6,1,1,1,1,7,1,7,2,1,3,1,4,"taking public transport, cycling, or walking rather than driving","High",46,"male","ptbr","pt","Porto","Master","9° Grade","9° Grade","no"
"20838",6,5,6,6,6,7,7,7,7,7,7,6,5,4,5,5,5,3,5,5,4,5,5,5,5,5,5,5,3,3,3,5,4,4,5,5,3,5,5,5,4,3,2,4,2,1,1,4,3,5,5,5,4,5,4,3,3,2,2,5,4,5,5,2,1,1,1,1,1,3,1,1,3,1,1,1,2,2,1,6,1,7,4,1,3,5,7,"recycling all items permitted by local programs","Low",21,"female","ptpt","pt","Porto","High School","High School","High School","no"
"20850",3,3,5,2,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,2,5,5,4,4,4,5,3,3,4,4,2,2,5,5,2,2,3,3,3,3,5,5,4,4,5,5,4,4,3,3,4,3,3,3,2,2,3,3,2,1,2,1,1,1,1,2,1,2,1,1,1,1,3,2,1,1,1,2,"eating less meat","High",19,"female","ptpt","pt","Porto","High School","Master","High School","yes"
"20851",7,5,7,7,6,7,6,6,7,7,7,7,5,5,5,5,5,5,5,5,5,3,4,5,5,4,4,5,5,5,5,4,4,2,2,5,5,4,4,3,3,5,5,4,4,5,5,4,4,5,5,3,3,5,5,4,3,3,3,4,4,5,5,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,7,5,1,1,2,3,"taking public transport, cycling, or walking rather than driving","High",20,"male","ptpt","pt","Porto","High School","Bachelor","High School","no"
"20867",6,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,3,5,5,4,4,3,3,4,4,4,3,2,2,4,4,4,4,3,3,5,5,4,4,5,4,5,5,5,5,3,3,5,5,3,3,5,5,4,4,3,3,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,2,1,1,3,1,1,1,1,"making more eco-friendly purchases","High",18,"female","ptpt","pt","Porto","High School","7° Grade","High School","yes"
"20874",7,7,4,7,7,6,7,7,6,7,7,5,5,5,5,5,5,4,5,5,4,4,4,4,4,3,3,4,4,3,3,2,2,2,2,3,3,5,5,3,3,4,4,4,4,4,4,5,5,4,4,5,5,3,3,4,4,4,4,5,5,5,5,3,3,1,6,3,3,5,1,7,3,1,4,1,7,3,1,7,1,7,4,1,4,6,7,"making more eco-friendly purchases","High",20,"female","ptpt","pt","Braga","High School","Bachelor","High School","no"
"20883",7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,4,5,5,2,3,5,5,4,4,2,2,5,5,4,4,3,2,5,5,5,5,3,2,5,3,4,3,1,1,5,5,5,4,2,2,4,3,3,3,4,3,5,4,5,3,2,4,1,1,3,1,6,1,1,1,1,4,1,1,1,1,6,1,7,5,1,1,1,7,"taking public transport, cycling, or walking rather than driving","High",25,"female","ptpt","pt","Porto","Master","High School","High School","no"
"20887",4,5,5,4,4,5,6,4,6,5,4,5,4,4,5,3,4,3,5,4,3,4,4,5,5,3,3,3,3,4,4,3,3,2,2,3,2,3,3,2,2,2,2,3,3,2,2,4,4,5,5,3,3,3,2,5,5,3,3,3,3,3,3,4,3,1,1,3,5,4,1,1,4,2,6,1,2,4,4,2,1,5,4,2,4,7,4,"reducing water use (e.g., taking shorter showers, repairing leaks)","Low",20,"male","ptpt","pt","Porto","Bachelor","Master","Master","no"
"20888",7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,4,4,5,5,2,2,4,4,5,5,5,5,1,1,5,5,3,3,5,5,5,5,5,5,2,2,5,5,5,5,1,1,5,5,5,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,7,4,1,1,1,1,"making more eco-friendly purchases","High",24,"female","ptpt","pt","Porto","Bachelor","4° Grade","4° Grade","no"
"20894",4,6,6,4,7,6,4,6,7,5,7,7,5,5,5,4,5,4,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,3,3,4,4,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,5,4,4,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,6,4,1,1,1,1,"recycling all items permitted by local programs","Low",21,"male","ptbr","pt","Braga","Bachelor","High School","Bachelor","yes"
"20923",7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,2,2,5,5,4,4,4,4,5,5,5,5,2,2,5,5,2,2,5,5,5,5,5,5,2,2,2,4,2,2,5,5,4,4,5,5,3,1,1,1,1,1,3,1,1,1,1,1,1,6,1,1,4,1,6,5,1,1,2,6,"making more eco-friendly purchases","High",22,"male","other","other","Faro","Bachelor","High School","High School","no"
"20958",7,7,7,7,7,5,7,7,5,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,3,3,3,3,5,5,3,3,5,5,3,3,1,1,5,5,5,5,3,3,4,4,2,2,5,5,5,5,5,5,1,3,1,3,1,1,7,1,1,1,1,1,1,3,1,1,1,1,4,3,1,1,1,1,"making more eco-friendly purchases","High",31,"female","ptbr","br","Porto","PhD","Bachelor","Bachelor","no"
"20979",5,6,7,7,6,7,7,7,7,7,7,7,5,5,5,5,5,4,5,5,5,4,3,5,5,4,4,4,4,4,4,3,3,4,4,4,4,5,5,4,4,5,5,3,3,5,5,5,5,5,5,4,4,3,3,3,3,4,4,4,4,5,5,1,2,1,2,1,1,1,1,2,1,1,1,1,2,1,1,3,1,6,4,1,1,3,6,"making more eco-friendly purchases","High",22,"female","ptpt","pt","Aveiro","Bachelor","Bachelor","High School","no"
"20981",5,4,7,6,6,7,5,3,7,6,7,7,5,5,5,5,5,4,5,5,5,2,3,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4,4,3,3,3,3,5,5,5,5,1,6,3,1,1,1,7,1,1,1,1,4,1,4,1,1,3,1,1,1,1,1,1,1,"taking public transport, cycling, or walking rather than driving","High",30,"female","ptpt","pt","Porto","Master","Bachelor","High School","yes"
"20991",6,6,7,6,6,7,7,7,7,6,7,7,5,5,5,5,5,5,5,5,5,3,3,5,5,4,4,4,4,4,4,3,3,4,4,4,4,4,5,3,3,5,5,4,4,5,5,5,5,5,5,4,4,3,4,3,3,3,3,5,5,4,4,1,2,2,2,2,2,3,1,2,2,1,1,1,4,1,1,2,1,4,3,1,2,2,3,"making more eco-friendly purchases","High",20,"female","ptpt","pt","Viseu","High School","High School","9° Grade","no"
"20994",1,1,6,5,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,4,5,5,2,2,1,1,4,4,2,2,4,4,5,5,5,5,1,1,4,4,3,3,5,5,4,4,5,5,1,1,4,4,5,5,5,5,2,2,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,7,1,1,1,1,1,"reducing water use (e.g., taking shorter showers, repairing leaks)","Low",28,"female","ptpt","pt","Viseu","Master","PhD","Master","no"
"21028",3,4,6,5,3,7,4,5,7,6,5,7,5,5,5,5,5,4,5,2,4,5,4,5,5,3,3,4,4,4,4,5,5,2,4,4,4,5,5,2,2,5,5,2,3,2,4,5,5,5,5,2,2,2,4,3,3,3,4,5,5,4,4,2,2,2,4,2,1,3,2,2,2,1,3,1,5,1,2,6,2,4,2,1,2,4,4,"making more eco-friendly purchases","High",19,"female","other","pt","Porto","High School","Bachelor","Master","no"
